matricule,prenom,nom,telephone,referentiel,email,Heurearrivee,status,promo_id,date
p1_12348,Aziz,Sall,123456789,Ref Dig,jdoe@ex.com,10:00:00,Absent,1,2019-07-12
p5_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Present,5,2020-12-05
p1_112350,Aly,Ba,564738291,Dev Data,alyba@ex.com,08:45:00,Present,1,2019-12-04
p3_312351,Fatou,Doucoure,876543219,Ref Dig,fdoucoure@ex.com,10:15:00,Present,3,2021-24-08
p5_12348,Aziz,Sall,123456789,Dev Data,jdoe@ex.com,10:00:00,Absent,5,2020-12-05
p2_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Absent,2,2021-05-08
p2_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Absent,2,2021-05-08
p2_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Present,2,2021-05-08
p2_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Present,2,2021-05-08
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Absent,3,2021-19-08
p1_12348,Aziz,Sall,123456789,Dev Data,jdoe@ex.com,10:00:00,Absent,1,2019-13-04
p4_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Present,4,2022-04-08
p1_12350,Aly,Ba,564738291,Dev Web/Mobile,alyba@ex.com,08:45:00,Present,1,2019-11-04
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Absent,3,2021-06-08
p1_12348,Aziz,Sall,123456789,Dev Web/Mobile,jdoe@ex.com,10:00:00,Absent,1,2019-10-04
p2_12349,Mariam,Diallo,987654321,Ref Dig,mdiallo@ex.com,09:30:00,Present,2,2021-05-08
p1_12350,Aly,Ba,564738291,Dev Web/Mobile,alyba@ex.com,08:45:00,Present,1,2019-12-04
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Absent,3,2021-05-08
p1_12348,Aziz,Sall,123456789,Dev Web/Mobile,jdoe@ex.com,10:00:00,Absent,1,2019-09-04
p1_12348,Aziz,Sall,123456789,Dev Web/Mobile,jdoe@ex.com,10:00:00,Absent,1,2019-12-04
p1_12348,Aziz,Sall,123456789,Dev Web/Mobile,jdoe@ex.com,10:00:00,Present,1,2019-12-04
p1_12348,Aziz,Sall,123456789,Dev Web/Mobile,jdoe@ex.com,10:00:00,Present,1,2019-08-04
p1_12348,Aziz,Sall,123456789,Dev Web/Mobile,jdoe@ex.com,10:00:00,Absent,1,2019-08-04
p1_12350,Aly,Ba,564738291,Dev Data,alyba@ex.com,08:45:00,Present,1,2019-11-04
p1_12348,Aziz,Sall,123456789,Dev Web/Mobile,jdoe@ex.com,10:00:00,Absent,1,2019-09-04
p1_12350,Aly,Ba,564738291,Dev Web/Mobile,alyba@ex.com,08:45:00,Present,1,2019-12-04
p1_12348,Aziz,Sall,123456789,Dev Web/Mobile,jdoe@ex.com,10:00:00,Absent,1,2021-05-08
p2_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Present,2,2021-05-08
p2_12349,Mariam,Diallo,987654321,Dev Data,mdiallo@ex.com,09:30:00,Present,2,2024-05-08
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Present,3,2021-17-08
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Present,3,2021-05-08
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Present,,2021-08-08
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Absent,3,2021-05-08
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Absent,3,2021-09-08
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Absent,3,2021-17-08
p3_12351,Fatou,Doucoure,876543219,Dev Web/Mobile,fdoucoure@ex.com,10:15:00,Absent,,2021-19-08
p3_12351,Fatou,Doucoure,876543219,Ref Dig,fdoucoure@ex.com,10:15:00,Absent,3,2021-05-08
p3_12351,Fatou,Doucoure,876543219,Dev Data,fdoucoure@ex.com,10:15:00,Present,3,2021-05-08
p4_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Present,4,2022-05-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Absent,4,2022-09-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Absent,4,2022-05-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Absent,4,2022-01-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Present,4,2022-11-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Present,4,2022-05-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Present,4,2022-05-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Absent,4,2022-15-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Present,4,2022-25-08
p4_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Present,4,2022-09-08
p5_12350,Aly,Ba,564738291,Ref Dig,alyba@ex.com,08:45:00,Present,5,2020-12-05
p5_12348,Aziz,Sall,123456789,Ref Dig,jdoe@ex.com,10:00:00,Absent,5,2020-11-05
p5_12348,Aziz,Sall,123456789,Ref Dig,jdoe@ex.com,10:00:00,Absent,5,2020-13-05
p5_12348,Aziz,Sall,123456789,Ref Dig,jdoe@ex.com,10:00:00,Absent,5,2020-12-05
p6_12349,Mariam,Diallo,987654321,Dev Web/Mobile,mdiallo@ex.com,09:30:00,Present,6,2021-05-08
p6_12350,Aly,Ba,564738291,Dev Data,alyba@ex.com,08:45:00,Present,6,2021-05-08
